QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01012100'	  	'02'	'000'	5.00		A			 - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01012900'	  	'02'	'000'	5.00		A			 - - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01013000'	  	'02'	'000'	5.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01019000'	  	'02'	'000'	5.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01022100'	  	'02'	'000'	0.00		A			 - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01022900'	  	'02'	'000'	0.00		A			 - - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01023100'	  	'02'	'000'	0.00		A			 -- Pure-bred breading	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01023900'	  	'02'	'000'	0.00		A			 - - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01029000'	  	'02'	'000'	0.00		A			 --others	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01031000'	  	'02'	'000'	5.00		A			 - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Jordan	'400'	2020	1	'01039100'	  	'02'	'000'	5.00		A			 -- Weighing less than 50 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
